Year(s) of Live Birth,Patient County,Demographic Characteristics,Sort Order,Demographic Strata,"Live Births
(N)","Live Births
(%)",Any Sepsis Events Peripartum (N),"Any Sepsis Events Peripartum (per 100,000)",Severe Sepsis/Septic Shock Peripartum (N),"Severe Sepsis/Septic Shock Peripartum(per 100,000)",Any Sepsis Events During Pregnancy (N),"Any Sepsis Events During Pregnancy (per 100,000)",Severe Sepsis/ Septic Shock During Pregnancy (N),"Severe Sepsis/ Septic Shock During Pregnancy
(per 100,000)",Any Sepsis Events During Delivery (N),"Any Sepsis Events During Delivery (per 100,000)",Severe Sepsis/ Septic Shock During Delivery (N),"Severe Sepsis/ Septic Shock During Delivery
(per 100,000)",Any Sepsis Events During Post-Partum (N),"Any Sepsis Events During Post-Partum (per 100,000)",Severe Sepsis/ Septic Shock During Post-Partum (N),"Severe Sepsis/ Septic Shock During Post-Partum
(per 100,000)"
2016-2018,Clinton,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",6,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Total,1,Total,"1,871",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Age Group,1,<20,91,6.49,1,1098.9,0,0,1,1098.9,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Age Group,2,20-35,"1,136",81.03,6,528.17,1,88.03,2,176.06,1,88.03,2,176.06,0,0,2,176.06,0,0
2016-2018,Columbia,Age Group,3,>35,175,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Education,1,Less than high school,172,12.27,1,581.4,0,0,0,0,0,0,0,0,0,0,1,581.4,0,0
2016-2018,Columbia,Education,2,High school graduate or GED,420,29.96,2,476.19,0,0,1,238.1,0,0,0,0,0,0,1,238.1,0,0
2016-2018,Columbia,Education,3,Some College,253,18.05,2,790.51,0,0,0,0,0,0,2,790.51,0,0,0,0,0,0
2016-2018,Columbia,Education,4,AA Degree,172,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Education,5,BA degree or higher,350,24.96,1,285.71,1,285.71,1,285.71,1,285.71,0,0,0,0,0,0,0,0
2016-2018,Columbia,Education,6,Unknown,10,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Race/Ethnicity,1,"White, Non-Hispanic","1,129",80.53,5,442.87,1,88.57,2,177.15,1,88.57,1,88.57,0,0,2,177.15,0,0
2016-2018,Columbia,Race/Ethnicity,2,"Black, Non-Hispanic",89,6.35,2,2247.19,0,0,1,1123.6,0,0,1,1123.6,0,0,0,0,0,0
2016-2018,Columbia,Race/Ethnicity,3,Hispanic,120,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",48,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Race/Ethnicity,6,"Other, Non-Hispanic",15,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Columbia,Total,1,Total,"1,402",100,7,499.29,1,71.33,3,213.98,1,71.33,2,142.65,0,0,2,142.65,0,0
2016-2018,Cortland,Age Group,1,<20,126,9.32,2,1587.3,1,793.65,0,0,0,0,0,0,0,0,2,1587.3,1,793.65
2016-2018,Cortland,Age Group,2,20-35,"1,103",81.58,3,271.99,1,90.66,0,0,0,0,1,90.66,0,0,2,181.32,1,90.66
2016-2018,Cortland,Age Group,3,>35,123,9.1,1,813.01,0,0,0,0,0,0,0,0,0,0,1,813.01,0,0
2016-2018,Cortland,Education,1,Less than high school,175,12.94,2,1142.86,0,0,0,0,0,0,0,0,0,0,2,1142.86,0,0
2016-2018,Cortland,Education,2,High school graduate or GED,399,29.51,2,501.25,2,501.25,0,0,0,0,0,0,0,0,2,501.25,2,501.25
2016-2018,Cortland,Education,3,Some College,252,18.64,1,396.83,0,0,0,0,0,0,0,0,0,0,1,396.83,0,0
2016-2018,Cortland,Education,4,AA Degree,159,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cortland,Education,5,BA degree or higher,324,23.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cortland,Race/Ethnicity,1,"White, Non-Hispanic","1,280",94.67,5,390.63,2,156.25,0,0,0,0,1,78.13,0,0,4,312.5,2,156.25
2016-2018,Cortland,Race/Ethnicity,2,"Black, Non-Hispanic",30,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cortland,Race/Ethnicity,3,Hispanic,24,1.78,1,4166.67,0,0,0,0,0,0,0,0,0,0,1,4166.67,0,0
2016-2018,Cortland,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",12,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cortland,Race/Ethnicity,6,"Other, Non-Hispanic",5,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cortland,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cortland,Total,1,Total,"1,352",100,6,443.79,2,147.93,0,0,0,0,1,73.96,0,0,5,369.82,2,147.93
2016-2018,Delaware,Age Group,1,<20,58,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Age Group,2,20-35,735,83.33,3,408.16,0,0,0,0,0,0,0,0,0,0,3,408.16,0,0
2016-2018,Delaware,Age Group,3,>35,89,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Education,1,Less than high school,84,9.52,1,1190.48,0,0,0,0,0,0,0,0,0,0,1,1190.48,0,0
2016-2018,Delaware,Education,2,High school graduate or GED,269,30.5,2,743.49,0,0,0,0,0,0,0,0,0,0,2,743.49,0,0
2016-2018,Delaware,Education,3,Some College,175,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Education,4,AA Degree,97,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Education,5,BA degree or higher,208,23.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Education,6,Unknown,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Race/Ethnicity,1,"White, Non-Hispanic",824,93.42,3,364.08,0,0,0,0,0,0,0,0,0,0,3,364.08,0,0
2016-2018,Delaware,Race/Ethnicity,2,"Black, Non-Hispanic",9,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Race/Ethnicity,3,Hispanic,21,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",3,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",17,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Race/Ethnicity,6,"Other, Non-Hispanic",7,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Delaware,Total,1,Total,882,100,3,340.14,0,0,0,0,0,0,0,0,0,0,3,340.14,0,0
2016-2018,Dutchess,Age Group,1,<20,311,4.49,3,964.63,0,0,2,643.09,0,0,0,0,0,0,1,321.54,0,0
2016-2018,Dutchess,Age Group,2,20-35,"5,258",75.93,31,589.58,3,57.06,10,190.19,2,38.04,14,266.26,0,0,8,152.15,1,19.02
2016-2018,Dutchess,Age Group,3,>35,"1,356",19.58,2,147.49,0,0,1,73.75,0,0,1,73.75,0,0,0,0,0,0
2016-2018,Dutchess,Education,1,Less than high school,544,7.86,4,735.29,1,183.82,1,183.82,1,183.82,2,367.65,0,0,2,367.65,0,0
2016-2018,Dutchess,Education,2,High school graduate or GED,"1,369",19.77,13,949.6,0,0,4,292.18,0,0,7,511.32,0,0,2,146.09,0,0
2016-2018,Dutchess,Education,3,Some College,"1,389",20.06,10,719.94,2,143.99,5,359.97,1,71.99,3,215.98,0,0,2,143.99,1,71.99
2016-2018,Dutchess,Education,4,AA Degree,652,9.42,2,306.75,0,0,0,0,0,0,1,153.37,0,0,1,153.37,0,0
2016-2018,Dutchess,Education,5,BA degree or higher,"2,884",41.65,6,208.04,0,0,3,104.02,0,0,1,34.67,0,0,2,69.35,0,0
2016-2018,Dutchess,Education,6,Unknown,31,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Dutchess,Race/Ethnicity,1,"White, Non-Hispanic","4,772",68.91,17,356.24,1,20.96,6,125.73,1,20.96,6,125.73,0,0,5,104.78,0,0
2016-2018,Dutchess,Race/Ethnicity,2,"Black, Non-Hispanic",911,13.16,9,987.93,0,0,3,329.31,0,0,6,658.62,0,0,0,0,0,0
2016-2018,Dutchess,Race/Ethnicity,3,Hispanic,877,12.66,10,1140.25,2,228.05,4,456.1,1,114.03,3,342.08,0,0,4,456.1,1,114.03
2016-2018,Dutchess,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",5,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Dutchess,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",207,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Dutchess,Race/Ethnicity,6,"Other, Non-Hispanic",134,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Dutchess,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",19,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Dutchess,Total,1,Total,"6,925",100,36,519.86,3,43.32,13,187.73,2,28.88,15,216.61,0,0,9,129.96,1,14.44
2016-2018,Erie,Age Group,1,<20,"1,954",6.9,12,614.12,5,255.89,6,307.06,2,102.35,2,102.35,1,51.18,4,204.71,2,102.35
2016-2018,Erie,Age Group,2,20-35,"22,681",80.09,57,251.31,7,30.86,23,101.41,1,4.41,15,66.13,4,17.64,21,92.59,3,13.23
2016-2018,Erie,Age Group,3,>35,"3,685",13.01,15,407.06,3,81.41,3,81.41,0,0,5,135.69,2,54.27,7,189.96,1,27.14
2016-2018,Erie,Education,1,Less than high school,"3,541",12.5,19,536.57,4,112.96,8,225.92,0,0,5,141.2,3,84.72,6,169.44,1,28.24
2016-2018,Erie,Education,2,High school graduate or GED,"5,522",19.5,24,434.63,4,72.44,9,162.98,2,36.22,5,90.55,1,18.11,10,181.09,1,18.11
2016-2018,Erie,Education,3,Some College,"4,927",17.4,16,324.74,4,81.19,5,101.48,0,0,6,121.78,2,40.59,7,142.07,3,60.89
2016-2018,Erie,Education,4,AA Degree,"2,846",10.05,8,281.1,1,35.14,3,105.41,0,0,2,70.27,0,0,3,105.41,1,35.14
2016-2018,Erie,Education,5,BA degree or higher,"11,167",39.43,14,125.37,0,0,6,53.73,0,0,2,17.91,0,0,6,53.73,0,0
2016-2018,Erie,Education,6,Unknown,187,0.66,1,534.76,0,0,0,0,0,0,1,534.76,0,0,0,0,0,0
2016-2018,Erie,Race/Ethnicity,1,"White, Non-Hispanic","18,113",63.96,33,182.19,5,27.6,12,66.25,0,0,9,49.69,3,16.56,13,71.77,2,11.04
2016-2018,Erie,Race/Ethnicity,2,"Black, Non-Hispanic","5,759",20.34,26,451.47,6,104.18,9,156.28,1,17.36,8,138.91,3,52.09,10,173.64,3,52.09
2016-2018,Erie,Race/Ethnicity,3,Hispanic,"1,953",6.9,12,614.44,2,102.41,6,307.22,2,102.41,1,51.2,0,0,5,256.02,0,0
2016-2018,Erie,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",116,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Erie,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","1,892",6.68,12,634.25,2,105.71,4,211.42,0,0,4,211.42,1,52.85,4,211.42,1,52.85
2016-2018,Erie,Race/Ethnicity,6,"Other, Non-Hispanic",486,1.72,1,205.76,0,0,1,205.76,0,0,0,0,0,0,0,0,0,0
2016-2018,Erie,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Erie,Total,1,Total,"28,320",100,84,296.61,15,52.97,32,112.99,3,10.59,22,77.68,7,24.72,32,112.99,6,21.19
2016-2018,Essex,Age Group,1,<20,35,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Age Group,2,20-35,442,83.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Age Group,3,>35,52,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Education,1,Less than high school,34,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Education,2,High school graduate or GED,145,27.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Education,3,Some College,98,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Education,4,AA Degree,65,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Education,5,BA degree or higher,153,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Race/Ethnicity,1,"White, Non-Hispanic",451,85.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Race/Ethnicity,2,"Black, Non-Hispanic",6,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Race/Ethnicity,3,Hispanic,8,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",4,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Race/Ethnicity,6,"Other, Non-Hispanic",4,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",56,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Essex,Total,1,Total,529,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Age Group,1,<20,143,11.98,1,699.3,1,699.3,1,699.3,1,699.3,0,0,0,0,0,0,0,0
2016-2018,Franklin,Age Group,2,20-35,953,79.82,1,104.93,0,0,1,104.93,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Age Group,3,>35,98,8.21,1,1020.41,0,0,0,0,0,0,1,1020.41,0,0,0,0,0,0
2016-2018,Franklin,Education,1,Less than high school,144,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Education,2,High school graduate or GED,374,31.32,2,534.76,1,267.38,2,534.76,1,267.38,0,0,0,0,0,0,0,0
2016-2018,Franklin,Education,3,Some College,241,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Education,4,AA Degree,147,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Education,5,BA degree or higher,219,18.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Education,6,Unknown,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Race/Ethnicity,1,"White, Non-Hispanic",879,73.62,3,341.3,1,113.77,2,227.53,1,113.77,1,113.77,0,0,0,0,0,0
2016-2018,Franklin,Race/Ethnicity,2,"Black, Non-Hispanic",5,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Race/Ethnicity,3,Hispanic,8,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",112,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",4,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Race/Ethnicity,6,"Other, Non-Hispanic",2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",184,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Franklin,Total,1,Total,"1,194",100,3,251.26,1,83.75,2,167.5,1,83.75,1,83.75,0,0,0,0,0,0
2016-2018,Fulton,Age Group,1,<20,160,11.9,1,625,0,0,0,0,0,0,1,625,0,0,0,0,0,0
2016-2018,Fulton,Age Group,2,20-35,"1,088",80.95,5,459.56,0,0,1,91.91,0,0,3,275.74,0,0,1,91.91,0,0
2016-2018,Fulton,Age Group,3,>35,96,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Education,1,Less than high school,212,15.77,2,943.4,0,0,1,471.7,0,0,1,471.7,0,0,0,0,0,0
2016-2018,Fulton,Education,2,High school graduate or GED,419,31.18,4,954.65,0,0,0,0,0,0,3,715.99,0,0,1,238.66,0,0
2016-2018,Fulton,Education,3,Some College,285,21.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Education,4,AA Degree,182,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Education,5,BA degree or higher,216,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Education,6,Unknown,5,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Race/Ethnicity,1,"White, Non-Hispanic","1,256",93.45,5,398.09,0,0,1,79.62,0,0,3,238.85,0,0,1,79.62,0,0
2016-2018,Fulton,Race/Ethnicity,2,"Black, Non-Hispanic",38,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Race/Ethnicity,3,Hispanic,35,2.6,1,2857.14,0,0,0,0,0,0,1,2857.14,0,0,0,0,0,0
2016-2018,Fulton,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",11,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Race/Ethnicity,6,"Other, Non-Hispanic",4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Fulton,Total,1,Total,"1,344",100,6,446.43,0,0,1,74.4,0,0,4,297.62,0,0,1,74.4,0,0
2016-2018,Genesee,Age Group,1,<20,120,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Age Group,2,20-35,"1,347",82.49,5,371.2,1,74.24,3,222.72,0,0,1,74.24,1,74.24,1,74.24,0,0
2016-2018,Genesee,Age Group,3,>35,166,10.17,1,602.41,0,0,0,0,0,0,0,0,0,0,1,602.41,0,0
2016-2018,Genesee,Education,1,Less than high school,139,8.51,2,1438.85,0,0,2,1438.85,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Education,2,High school graduate or GED,429,26.27,2,466.2,0,0,1,233.1,0,0,0,0,0,0,1,233.1,0,0
2016-2018,Genesee,Education,3,Some College,335,20.51,1,298.51,0,0,0,0,0,0,0,0,0,0,1,298.51,0,0
2016-2018,Genesee,Education,4,AA Degree,232,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Education,5,BA degree or higher,467,28.6,1,214.13,1,214.13,0,0,0,0,1,214.13,1,214.13,0,0,0,0
2016-2018,Genesee,Education,6,Unknown,5,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Race/Ethnicity,1,"White, Non-Hispanic","1,428",87.45,4,280.11,1,70.03,2,140.06,0,0,1,70.03,1,70.03,1,70.03,0,0
2016-2018,Genesee,Race/Ethnicity,2,"Black, Non-Hispanic",52,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Race/Ethnicity,3,Hispanic,78,4.78,1,1282.05,0,0,0,0,0,0,0,0,0,0,1,1282.05,0,0
2016-2018,Genesee,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",30,1.84,1,3333.33,0,0,1,3333.33,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",13,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Race/Ethnicity,6,"Other, Non-Hispanic",5,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",27,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Genesee,Total,1,Total,"1,633",100,6,367.42,1,61.24,3,183.71,0,0,1,61.24,1,61.24,2,122.47,0,0
2016-2018,Greene,Age Group,1,<20,44,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Greene,Age Group,2,20-35,793,82.43,6,756.62,2,252.21,3,378.31,1,126.1,2,252.21,1,126.1,1,126.1,0,0
2016-2018,Greene,Age Group,3,>35,125,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Greene,Education,1,Less than high school,79,8.21,1,1265.82,1,1265.82,0,0,0,0,1,1265.82,1,1265.82,0,0,0,0
2016-2018,Greene,Education,2,High school graduate or GED,277,28.79,3,1083.03,0,0,1,361.01,0,0,1,361.01,0,0,1,361.01,0,0
2016-2018,Greene,Education,3,Some College,203,21.1,2,985.22,1,492.61,2,985.22,1,492.61,0,0,0,0,0,0,0,0
2016-2018,Greene,Education,4,AA Degree,134,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Greene,Education,5,BA degree or higher,248,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Greene,Education,6,Unknown,9,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Greene,Race/Ethnicity,1,"White, Non-Hispanic",860,89.4,SS,SS,SS,SS,2,232.56,1,116.28,SS,SS,SS,SS,1,116.28,0,0
2016-2018,Greene,Race/Ethnicity,2,"Black, Non-Hispanic",44,4.57,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Greene,Race/Ethnicity,3,Hispanic,32,3.33,SS,SS,SS,SS,1,3125,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Greene,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",18,1.87,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Greene,Race/Ethnicity,6,"Other, Non-Hispanic",7,0.73,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Greene,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.1,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Greene,Total,1,Total,962,100,6,623.7,2,207.9,3,311.85,1,103.95,2,207.9,1,103.95,1,103.95,0,0
2016-2018,Hamilton,Age Group,1,<20,4,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Age Group,2,20-35,47,85.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Age Group,3,>35,4,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Education,1,Less than high school,5,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Education,2,High school graduate or GED,6,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Education,3,Some College,16,29.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Education,4,AA Degree,6,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Education,5,BA degree or higher,21,38.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Race/Ethnicity,1,"White, Non-Hispanic",49,89.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Race/Ethnicity,2,"Black, Non-Hispanic",2,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Race/Ethnicity,6,"Other, Non-Hispanic",1,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",3,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Hamilton,Total,1,Total,55,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Age Group,1,<20,158,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Age Group,2,20-35,"1,286",80.58,3,233.28,1,77.76,1,77.76,1,77.76,0,0,0,0,2,155.52,0,0
2016-2018,Herkimer,Age Group,3,>35,152,9.52,1,657.89,0,0,0,0,0,0,1,657.89,0,0,0,0,0,0
2016-2018,Herkimer,Education,1,Less than high school,160,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Education,2,High school graduate or GED,452,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Education,3,Some College,340,21.3,3,882.35,0,0,0,0,0,0,1,294.12,0,0,2,588.24,0,0
2016-2018,Herkimer,Education,4,AA Degree,254,15.91,1,393.7,1,393.7,1,393.7,1,393.7,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Education,5,BA degree or higher,347,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Education,6,Unknown,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Race/Ethnicity,1,"White, Non-Hispanic","1,523",95.43,4,262.64,1,65.66,1,65.66,1,65.66,1,65.66,0,0,2,131.32,0,0
2016-2018,Herkimer,Race/Ethnicity,2,"Black, Non-Hispanic",29,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Race/Ethnicity,3,Hispanic,29,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",11,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Race/Ethnicity,6,"Other, Non-Hispanic",4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Herkimer,Total,1,Total,"1,596",100,4,250.63,1,62.66,1,62.66,1,62.66,1,62.66,0,0,2,125.31,0,0
